Item Code,Description / Inventory Details,Company,Customer,LOT,Lot Number,NEXT RENEWAL,HOLDS,INVT ATTR,QTY BKD,On Hand:Qty,,Available:Qty,,On Order:Qty,,On Receipt:Qty,,On Non-Shippable Hold:Qty,,In Transit:Qty,,On Shippable Hold:Qty,,On Hand:Gross Wgt by LBS,Available:Gross Wgt by LBS,On Order:Gross Wgt by LBS,On Receipt:Gross Wgt by LBS,On Non-Shippable Hold:Gross Wgt by LBS,In Transit:Gross Wgt by LBS,On Shippable Hold:Gross Wgt by LBS,On Hand:Net Wgt by LBS,Available:Net Wgt by LBS,On Order:Net Wgt by LBS,On Receipt:Net Wgt by LBS,On Non-Shippable Hold:Net Wgt by LBS,In Transit:Net Wgt by LBS,On Shippable Hold:Net Wgt by LBS,On Non-Shippable Hold:HOLDS,On Shippable Hold:HOLDS
189,AQ MUSSELS IN TOMATO SAUCE (454g),W2,LMFOO,L240165,NO BRAND (SPAIN),multiple,,,"CS, PLT=117CS",2520,CS,2520,CS,0,CS,0,CS,0,CS,0,CS,0,CS,18396,18396,0,0,0,0,0,15120,15120,0,0,0,0,0,,
190,AQ MUSSELS IN WHITE WINE SAUCE (454g),W2,LMFOO,L240165,NO BRAND (SPAIN),multiple,,,"CS, PLT=96CS",2520,CS,2520,CS,0,CS,0,CS,0,CS,0,CS,0,CS,18396,18396,0,0,0,0,0,15120,15120,0,0,0,0,0,,
191,AQ SHRIMP SKEWERS IN GARLIC SAUCE (145G),W2,LMFOO,L240245,NO BRAND (SPAIN),multiple,,,"CS, PLT=150CS",850,CS,850,CS,0,CS,0,CS,0,CS,0,CS,0,CS,9095,9095,0,0,0,0,0,6545,6545,0,0,0,0,0,,
209,WESTWARD RAO,W2,LMFOO,57561,WESTWARD BRAND (USA),multiple,,,"CS, PLT=60CS",360,CS,360,CS,0,CS,0,CS,0,CS,0,CS,0,CS,16632,16632,0,0,0,0,0,15840,15840,0,0,0,0,0,,
209,WESTWARD RAO,W2,LMFOO,57907,WESTWARD BRAND (USA),multiple,,,"CS, PLT=60CS",900,CS,900,CS,0,CS,0,CS,0,CS,0,CS,0,CS,41580,41580,0,0,0,0,0,39600,39600,0,0,0,0,0,,
215,UNISEA RA,W2,LMFOO,57893,UNISEA BRAND (USA),multiple,,,"CS, PLT=48CS",900,CS,900,CS,0,CS,0,CS,0,CS,0,CS,0,CS,42210,42210,0,0,0,0,0,39690,39690,0,0,0,0,0,,
220,ARTIC STORM KA,W2,LMFOO,56450,ARCTIC STORM BRAND (USA),multiple,,,"CS, PLT=50CS",200,CS,200,CS,0,CS,0,CS,0,CS,0,CS,0,CS,9185,9185,0,0,0,0,0,8813.5,8813.5,0,0,0,0,0,,
228,AMERICAN SEAFOODS KA,W2,LMFOO,57919,PRIDE OF THE SEA BRAND (USA),multiple,,,"CS, PLT=48CS",180,CS,180,CS,0,CS,0,CS,0,CS,0,CS,0,CS,8280,8280,0,0,0,0,0,7920,7920,0,0,0,0,0,,
233,ALASKA POLLOCK SURIMI GRADE A (1/20KG),W2,LMFOO,57904,WESTWARD BRAND (USA),multiple,,,"CS, PLT=60CS",900,CS,900,CS,0,CS,0,CS,0,CS,0,CS,0,CS,41400,41400,0,0,0,0,0,39600,39600,0,0,0,0,0,,
235,DALU A,W2,LMFOO,56476-A,DALU BRAND (VIETNAM),multiple,,,"CS, PLT=50CS",100,CS,100,CS,0,CS,0,CS,0,CS,0,CS,0,CS,4590,4590,0,0,0,0,0,4409,4409,0,0,0,0,0,,
235,DALU A,W2,LMFOO,57180,DALU BRAND (VIETNAM),multiple,,,"CS, PLT=50CS",250,CS,250,CS,0,CS,0,CS,0,CS,0,CS,0,CS,11475,11475,0,0,0,0,0,11022.5,11022.5,0,0,0,0,0,,
240,ALYESKA KOSHER AA,W2,LMFOO,57775,ALYESKA BRAND (USA),multiple,,,"CS, PLT=60CS",600,CS,600,CS,0,CS,0,CS,0,CS,0,CS,0,CS,27060,27060,0,0,0,0,0,26400,26400,0,0,0,0,0,,
1009,FLAKE STYL CRAB FLVRD SEAFOOD (12/2.5LB),W2,LMFOO,12523W,AQUA TREASURE BRAND (USA),multiple,,,"CS, PLT=40CS",63,CS,63,CS,0,CS,0,CS,0,CS,0,CS,0,CS,2028.6,2028.6,0,0,0,0,0,1890,1890,0,0,0,0,0,,
1049R,CRAB FLAVORED SEAFOOD (12/2.5),W2,LMFOO,3624,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=63CS",63,CS,0,CS,63,CS,0,CS,0,CS,0,CS,0,CS,1990.8,0,1990.8,0,0,0,0,1890,0,1890,0,0,0,0,,
1049R,CRAB FLAVORED SEAFOOD (12/2.5),W2,LMFOO,4324,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=63CS",0,CS,0,CS,0,CS,189,CS,0,CS,0,CS,0,CS,0,0,0,5972.4,0,0,0,0,0,0,5972.4,0,0,0,,
1049R,CRAB FLAVORED SEAFOOD (12/2.5),W2,LMFOO,4424,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=63CS",0,CS,0,CS,0,CS,252,CS,0,CS,0,CS,0,CS,0,0,0,7963.2,0,0,0,0,0,0,7963.2,0,0,0,,
1049R,CRAB FLAVORED SEAFOOD (12/2.5),W2,LMFOO,5324,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=63CS",126,CS,0,CS,126,CS,0,CS,0,CS,0,CS,0,CS,3981.6,0,3981.6,0,0,0,0,3780,0,3780,0,0,0,0,,
1049RC,SURIMI SHREDS (12/2.5LB),W2,LMFOO,25823E,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=62CS",36,CS,36,CS,0,CS,0,CS,0,CS,0,CS,0,CS,1134,1134,0,0,0,0,0,1080,1080,0,0,0,0,0,,
1049RC,SURIMI SHREDS (12/2.5LB),W2,LMFOO,33123,AQUATREASURE BRAND (USA),multiple,,,"CS, PLT=63CS",315,CS,315,CS,0,CS,0,CS,0,CS,0,CS,0,CS,9922.5,9922.5,0,0,0,0,0,9450,9450,0,0,0,0,0,,
1049RC-J,SURIMI SHRED (12/2.5),W2,LMFOO,27523E,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=63CS",63,CS,63,CS,0,CS,0,CS,0,CS,0,CS,0,CS,1990.8,1990.8,0,0,0,0,0,1890,1890,0,0,0,0,0,,
1146,CRAB FLAKE STYLE (12/2.5LB),W2,LMFOO,29923,SURIMI BRAND (USA),multiple,,,"CS, PLT=72CS",194,CS,194,CS,0,CS,0,CS,0,CS,0,CS,0,CS,6305,6305,0,0,0,0,0,5820,5820,0,0,0,0,0,,
1146,CRAB FLAKE STYLE (12/2.5LB),W2,LMFOO,29923E,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=63CS",76,CS,76,CS,0,CS,0,CS,0,CS,0,CS,0,CS,2470,2470,0,0,0,0,0,2280,2280,0,0,0,0,0,,
12116,"SILVER 5"" LEGS (12/2LB)",W2,LMFOO,51224,DYNA SEA BRAND (USA),multiple,,,"CS, PLT=76CS",152,CS,152,CS,0,CS,0,CS,0,CS,0,CS,0,CS,3876,3876,0,0,0,0,0,3648,3648,0,0,0,0,0,,
12116,"SILVER 5"" LEGS (12/2LB)",W2,LMFOO,150425,DYNA SEA BRAND (USA),multiple,,,"CS, PLT=43CS",52,CS,52,CS,0,CS,0,CS,0,CS,0,CS,0,CS,1326,1326,0,0,0,0,0,1248,1248,0,0,0,0,0,,
12166,ALIMENTOS STICK (12/1LB),W2,LMFOO,4823,LUCKY STAR BRAND (USA),multiple,CUST(61) CUST(77) CUST(77) CUST(77),,"CS, PLT=77CS",292,CS,0,CS,0,CS,0,CS,292,CS,0,CS,0,CS,8205.2,0,0,0,8205.2,0,0,7738,0,0,0,7738,0,0,,
12332,SURIMI LEGS 500g (30/1.1LB),W2,LMFOO,1724,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=44CS",44,CS,44,CS,0,CS,0,CS,0,CS,0,CS,0,CS,1553.2,1553.2,0,0,0,0,0,1452,1452,0,0,0,0,0,,
12401,STICK STYLE (20/1LB),W2,LMFOO,41625,SEAFARER BRAND (USA),multiple,,,"CS, PLT=70CS",14,CS,14,CS,0,CS,0,CS,0,CS,0,CS,0,CS,322,322,0,0,0,0,0,280,280,0,0,0,0,0,,
12401,STICK STYLE (20/1LB),W2,LMFOO,5224,SEAFARER BRAND (USA),multiple,,,"CS, PLT=70CS",210,CS,210,CS,0,CS,0,CS,0,CS,0,CS,0,CS,4830,4830,0,0,0,0,0,4200,4200,0,0,0,0,0,,
12403,CRAB FLAVORED SFD (STICK STYLE) (20/1),W2,LMFOO,31023,SEAFARER BRAND (USA),multiple,,,"CS, PLT=70CS",85,CS,85,CS,0,CS,0,CS,0,CS,0,CS,0,CS,1942.25,1942.25,0,0,0,0,0,1700,1700,0,0,0,0,0,,
12404,SUSHI SUPREME STICK 20/500g (20/1.1LB),W2,LMFOO,1124,SUSHI SUPREME BRAND (USA),multiple,,,"CS, PLT=63CS",189,CS,189,CS,0,CS,0,CS,0,CS,0,CS,0,CS,4932.9,4932.9,0,0,0,0,0,4158,4158,0,0,0,0,0,,
12404,SUSHI SUPREME STICK 20/500g (20/1.1LB),W2,LMFOO,130,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=67CS",130,CS,130,CS,0,CS,0,CS,0,CS,0,CS,0,CS,3393,3393,0,0,0,0,0,2860,2860,0,0,0,0,0,,
12410,7in SUSHI STICK STYLE (20/1.5LB),W2,LMFOO,27222E,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=65CS",57,CS,57,CS,0,CS,0,CS,0,CS,0,CS,0,CS,1801.2,1801.2,0,0,0,0,0,1710,1710,0,0,0,0,0,,
12410,7in SUSHI STICK STYLE (20/1.5LB),W2,LMFOO,27722E,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=52CS",97,CS,97,CS,0,CS,0,CS,0,CS,0,CS,0,CS,3065.2,3065.2,0,0,0,0,0,2910,2910,0,0,0,0,0,,
12410A,7IN SUSHI STICK STYLE NAT. (20/1.5LB),W2,LMFOO,3224,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=49CS",49,CS,0,CS,49,CS,0,CS,0,CS,0,CS,0,CS,1592.5,0,1592.5,0,0,0,0,1470,0,1470,0,0,0,0,,
12410A,7IN SUSHI STICK STYLE NAT. (20/1.5LB),W2,LMFOO,5024,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=65CS",1121,CS,0,CS,1121,CS,0,CS,0,CS,0,CS,0,CS,36432.5,0,36432.5,0,0,0,0,33630,0,33630,0,0,0,0,,
12414,7in STICK STYLE (20/1.5LB),W2,LMFOO,6724,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=65CS",0,CS,0,CS,0,CS,520,CS,0,CS,0,CS,0,CS,0,0,0,16640,0,0,0,0,0,0,16640,0,0,0,,
12414,7in STICK STYLE (20/1.5LB),W2,LMFOO,31023E,AQUAMAR BRAND (USA),multiple,,,"CS, PLT=65CS",101,CS,36,CS,65,CS,0,CS,0,CS,0,CS,0,CS,3232,1152,2080,0,0,0,0,3030,1080,1950,0,0,0,0,,
1277,IMITATION CRAB MEAT FLAKE STYLE (10/3LB),W2,LMFOO,324,SEA SUPREME BRAND (USA),multiple,,,"CS, PLT=63CS",12,CS,12,CS,0,CS,0,CS,0,CS,0,CS,0,CS,390,390,0,0,0,0,0,360,360,0,0,0,0,0,,
1277,IMITATION CRAB MEAT FLAKE STYLE (10/3LB),W2,LMFOO,1924,SEA SUPREME BRAND (USA),multiple,,,"CS, PLT=63CS",115,CS,115,CS,0,CS,0,CS,0,CS,0,CS,0,CS,3737.5,3737.5,0,0,0,0,0,3450,3450,0,0,0,0,0,,
1435,AQUA TREASURE STICK (4/2.5LB),W2,LMFOO,2624,AQUA TREASURE BRAND (USA),multiple,,,"CS, PLT=162CS",192,CS,192,CS,0,CS,0,CS,0,CS,0,CS,0,CS,2035.2,2035.2,0,0,0,0,0,1920,1920,0,0,0,0,0,,
1435,AQUA TREASURE STICK (4/2.5LB),W2,LMFOO,32525,AQUA TREASURE BRAND (USA),multiple,,,"CS, PLT=24CS",24,CS,24,CS,0,CS,0,CS,0,CS,0,CS,0,CS,254.4,254.4,0,0,0,0,0,240,240,0,0,0,0,0,,
1492,SHRED STYL CRAB FLVRD SEAFOOD (12/2.5LB),W2,LMFOO,27523,AQUATREASURE BRAND (USA),multiple,,,"CS, PLT=63CS",126,CS,126,CS,0,CS,0,CS,0,CS,0,CS,0,CS,4006.8,4006.8,0,0,0,0,0,3780,3780,0,0,0,0,0,,
1492,SHRED STYL CRAB FLVRD SEAFOOD (12/2.5LB),W2,LMFOO,33123,AQUATREASURE BRAND (USA),multiple,,,"CS, PLT=63CS",189,CS,189,CS,0,CS,0,CS,0,CS,0,CS,0,CS,6010.2,6010.2,0,0,0,0,0,5670,5670,0,0,0,0,0,,
32002,FLAKE STYLE IMITATION CRABMEAT (12/2.5),W2,LMFOO,90125,DYNA SEA BRAND (USA),multiple,,,"CS, PLT=63CS",0,CS,0,CS,0,CS,737,CS,0,CS,0,CS,0,CS,0,0,0,23289.2,0,0,0,0,0,0,23289.2,0,0,0,,
32002,FLAKE STYLE IMITATION CRABMEAT (12/2.5),W2,LMFOO,72825,DYNASEA BRAND (USA),multiple,,,"CS, PLT=48CS",92,CS,29,CS,63,CS,0,CS,0,CS,0,CS,0,CS,2907.2,916.4,1990.8,0,0,0,0,2760,870,1890,0,0,0,0,,
32002A,CLASSIC BAY FLAKE (12/2.5LB),W2,LMFOO,50125,CLASSIC BAY BRAND (USA),multiple,,,"CS, PLT=63CS",146,CS,146,CS,0,CS,0,CS,0,CS,0,CS,0,CS,4613.6,4613.6,0,0,0,0,0,4380,4380,0,0,0,0,0,,
32003,CLASSIC BAY FLAKE (12/2.5LB),W2,LMFOO,81225,CLASSIC BAY BRAND (USA),multiple,,,"CS, PLT=63CS",532,CS,532,CS,0,CS,0,CS,0,CS,0,CS,0,CS,17130.4,17130.4,0,0,0,0,0,15960,15960,0,0,0,0,0,,
32003,CLASSIC BAY FLAKE (12/2.5LB),W2,LMFOO,82825,CLASSIC BAY BRAND (USA),multiple,,,"CS, PLT=63CS",1323,CS,1323,CS,0,CS,0,CS,0,CS,0,CS,0,CS,42600.6,42600.6,0,0,0,0,0,39690,39690,0,0,0,0,0,,
32008,FLAKE STYLE (4/2.5LB),W2,LMFOO,28523E,KANIMI BRAND (USA),multiple,,,"CS, PLT=160CS",90,CS,90,CS,0,CS,0,CS,0,CS,0,CS,0,CS,963,963,0,0,0,0,0,900,900,0,0,0,0,0,,
32009,KANIMI FLAKE STYLE  (12/2.5LB),W2,LMFOO,35423E,KANIMI BRAND (USA),multiple,,,"CS, PLT=63CS",90,CS,90,CS,0,CS,0,CS,0,CS,0,CS,0,CS,2880,2880,0,0,0,0,0,2700,2700,0,0,0,0,0,,
32015,D/S FLAKE (30/1LB),W2,LMFOO,301024,DYNA SEA BRAND (USA),multiple,,,"CS, PLT=72CS",250,CS,250,CS,0,CS,0,CS,0,CS,0,CS,0,CS,8100,8100,0,0,0,0,0,7500,7500,0,0,0,0,0,,
